lot_id,url,source,purchase_date,snapshot_label,days_after_purchase,confidence,likely_company,likely_usage,candidate_count
19753355,https://investmoscow.ru/tenders/tender/19753355,baseline,25.03.2025 17:00,2025-09,189,medium,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19753870,https://investmoscow.ru/tenders/tender/19753870,baseline,19.03.2025 17:00,2025-09,195,high,Адвокат Базель В.С.,"Юридические услуги -> Ведение дел в судах, Услуги адвоката",1
19757083,https://investmoscow.ru/tenders/tender/19757083,baseline,21.03.2025 17:00,2025-09,193,medium,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19760381,https://investmoscow.ru/tenders/tender/19760381,baseline,02.04.2025 17:00,2025-09,181,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19762293,https://investmoscow.ru/tenders/tender/19762293,baseline,31.03.2025 17:00,2025-09,183,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19762312,https://investmoscow.ru/tenders/tender/19762312,baseline,31.03.2025 17:00,2025-09,183,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19762327,https://investmoscow.ru/tenders/tender/19762327,baseline,31.03.2025 17:00,2025-09,183,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19765523,https://investmoscow.ru/tenders/tender/19765523,baseline,02.04.2025 17:00,2025-09,181,high,"Ruszamok, компания по вскрытию и замене замков","Бытовые услуги, Отделочные материалы -> Вскрытие / обслуживание замков, дверей, Замки / Скобяные изделия",1
19865661,https://investmoscow.ru/tenders/tender/19865661,recent_2026_04,14.11.2025 17:00,2026-04,167,high,"Веловорот, мастерская по ремонту велосипедов",Спортивные товары -> Ремонт спортивного инвентаря,1
19876870,https://investmoscow.ru/tenders/tender/19876870,recent_2026_04,10.11.2025 17:00,2026-04,171,medium,"Ozon | Wildberries, пункт выдачи заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19878416,https://investmoscow.ru/tenders/tender/19878416,recent_2026_04,07.11.2025 17:00,2026-04,174,high,"Жилищник района Восточное Измайлово, пункт приема батареек",Бытовые услуги -> Пункты приёма,1
19880867,https://investmoscow.ru/tenders/tender/19880867,recent_2026_04,11.11.2025 17:00,2026-04,170,medium,"tattoo-globus, студия | Кабинет логопеда",Красота / Здоровье -> Тату-салоны | Медицинские услуги -> Логопед,2
19885058,https://investmoscow.ru/tenders/tender/19885058,recent_2026_04,18.11.2025 17:00,2026-04,163,medium,"Бери заряд, станции с переносными зарядками | Яндекс Маркет, пункт выдачи заказов",Средства связи -> Станции зарядки телефонов | Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19885377,https://investmoscow.ru/tenders/tender/19885377,recent_2026_04,18.11.2025 17:00,2026-04,163,medium,"Ozon | Сфера тела, студия эпиляции и массажа","Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов | Красота / Здоровье -> Косметолог, Массажист, Студии загара, Эпиляция",2
