id,name,type,address,lat,lon
32605841,"Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко. Здание ""На Ленинском""",school,Ленинский проспект,55.7180444,37.593162
32611554,Школа №730,school,Старокаширское шоссе,55.6599999,37.6266505
33060422,Школа №183,school,Дубнинская улица,55.8740976,37.5560007
33855631,Школа № 749,school,,55.7307754,37.4107111
33993799,Лицей №4,school,улица Циолковского,55.9217137,37.8145386
34321752,Школа 1040,school,Батайский проезд,55.6438454,37.7374497
34321753,Школа 1147,school,Батайский проезд,55.6441597,37.7361151
34329690,Центр образования №2010,school,улица Верхние Поля,55.6673041,37.748292
34585487,Школа № 296,school,Большая Марфинская улица,55.8312193,37.5914633
34908295,Кадетская школа №1770,school,Судостроительная улица,55.6861271,37.6886855
34911748,"Детский оздоровительно-образовательный центр ""Южный""",school,Коломенская улица,55.6828058,37.7049521
35013513,,school,Чапаевский переулок,55.8012961,37.5181267
35069959,Школа № 283. Корпус № 2,school,,55.8914151,37.6643298
35069960,Школа №283,school,,55.8895329,37.671121
35134626,Школа №950,school,,55.8602701,37.6046609
35158327,Социально-ребилитационный центр Отрадное,school,улица Декабристов,55.8613273,37.6059881
35172004,Школа № 536,school,,55.6436935,37.5956243
35379957,Центр образования №548 Царицыно,school,Домодедовская улица,55.6020586,37.7169951
35403477,"Школа №544, корпус 3",school,Каширское шоссе,55.602306,37.7190308
35403550,Школа №544,school,Каширское шоссе,55.6068626,37.7146404
35424128,Школа №1980,school,Чечёрский проезд,55.5345682,37.5327808
35680206,Школа № 370,school,улица Винокурова,55.6902904,37.5845344
35879898,Петровская гимназия,school,,55.7923372,37.9310621
35960354,,school,проспект Вернадского,55.6647818,37.4944948
35960355,,school,проспект Вернадского,55.6644009,37.4954367
35977653,Лицей им. Софьи Нюберг,school,Большая Черёмушкинская улица,55.6763331,37.5817519
36243218,Школа №585,school,Ясеневая улица,55.5985768,37.7191269
36358903,Школа-вуз «Современное образование»,school,Малый Головин переулок,55.7687625,37.6355598
36476905,Высшая коммерческая школа ВАВТ Минэкономразвития России,school,Левобережная улица,55.8789001,37.4680313
36515112,Школа №117,school,улица Академика Пилюгина,55.6720714,37.5340263
36583468,Школа № 1353,school,,55.9951369,37.2027105
36583502,Школа № 617,school,,55.9959284,37.2019233
36583523,Школа № 1703,school,,55.9940156,37.2033917
36583571,Школа № 1710,school,,55.9935619,37.2055778
36583613,Школа № 618,school,,55.9937483,37.2078315
36583670,"Школа № 618, начальные классы",school,,55.9927617,37.2083786
36861412,"Школа № 1557 им. П.Л. Капицы, корп. 344А",school,,55.9943305,37.2220312
36861432,Школа № 1704,school,,55.9946276,37.2185478
36861459,ДЮЦ Орлёнок,school,,55.9929199,37.2174898
36868611,Школа №2000 корпус №3,school,Кантемировская улица,55.6411232,37.6598579
36943445,"Школа № 842, корп. 142",school,,56.006007,37.21167
36945989,Школа № 618,school,,56.0028771,37.2004668
37330394,Школа №49. Школьный корпус,school,,55.6420096,37.546718
37651230,,school,улица Тихонравова,55.9367228,37.8370869
37689996,Гимназия №3,school,,55.9340466,37.8484891
37754328,Школа №5,school,,55.91876,37.8397266
37850769,Школа № 2. Корпус школьного образования № 2,school,,55.821685,37.9706884
